LTd_history,itv_LT,itv_LL,anm_develop_time
"[-1.6713336857311336e-10, -2.9108789361742184e-10, -2.4125183938059475e-10, -2.328349492839917e-10, -4.285862758444074e-10, -4.6023100602398953e-10, -2.590523040960771e-10, 4.3332450058085305e-10]",0.01041666666666667,0.0,0
"[-2.0082535786713752e-10, -1.6713336857311336e-10, -2.9108789361742184e-10, -1.8788762404631915e-10, -3.482769197426163e-10, -5.409677354564144e-10, -2.543993490284534e-10, 3.484275332687985e-10]",0.01041666666666667,0.01041666666666667,1
"[-2.2837488185155295e-10, -2.0082535786713752e-10, -1.6713336857311336e-10, -2.4125183938059475e-10, -3.6316211143406127e-10, -5.906904465634284e-10, -2.6448914088599856e-10, 4.3773465598629144e-10]",0.01041666666666667,0.02083333333333334,2
"[-1.8674139779990417e-10, -2.2837488185155295e-10, -2.0082535786713752e-10, -2.9108789361742184e-10, -2.953546376373679e-10, -5.325375274533302e-10, -4.0547268740170155e-10, 5.093504140246701e-10]",0.01041666666666667,0.03125000000000001,3
"[-3.760495927893341e-10, -1.8674139779990417e-10, -2.2837488185155295e-10, -1.6713336857311336e-10, -2.328349492839917e-10, -6.339769995091309e-10, -2.917246931734496e-10, 6.038398385626741e-10]",0.01041666666666667,0.04166666666666668,4
"[-3.222785238475716e-10, -3.760495927893341e-10, -1.8674139779990417e-10, -2.0082535786713752e-10, -1.8788762404631915e-10, -5.208032377892408e-10, -3.683097730105317e-10, 6.981436527787165e-10]",0.01041666666666667,0.05208333333333335,5
"[-3.032612389489576e-10, -3.222785238475716e-10, -3.760495927893341e-10, -2.2837488185155295e-10, -2.4125183938059475e-10, -4.4419149202464187e-10, -4.176073774899876e-10, 6.457951077588461e-10]",0.01041666666666667,0.06250000000000001,6
"[-4.30289559823469e-10, -3.032612389489576e-10, -3.222785238475716e-10, -1.8674139779990417e-10, -2.9108789361742184e-10, -4.717905601549673e-10, -3.7515741698882637e-10, 5.562406317375686e-10]",0.01041666666666667,0.07291666666666669,7
"[-3.3679043481155803e-10, -4.30289559823469e-10, -3.032612389489576e-10, -3.760495927893341e-10, -1.6713336857311336e-10, -4.285862758444074e-10, -2.606960974685061e-10, 5.173139932964571e-10]",0.01041666666666667,0.08333333333333336,8
"[-2.889629230479137e-10, -3.3679043481155803e-10, -4.30289559823469e-10, -3.222785238475716e-10, -2.0082535786713752e-10, -3.482769197426163e-10, -2.6252141425643296e-10, 5.341411555389337e-10]",0.01041666666666667,0.09375000000000003,9
"[-2.055052902914393e-10, -2.889629230479137e-10, -3.3679043481155803e-10, -3.032612389489576e-10, -2.2837488185155295e-10, -3.6316211143406127e-10, -2.6939577299804116e-10, 5.824373569703203e-10]",0.01041666666666667,0.1041666666666667,10
"[-2.1176617826700174e-10, -2.055052902914393e-10, -2.889629230479137e-10, -4.30289559823469e-10, -1.8674139779990417e-10, -2.953546376373679e-10, -2.800489426253683e-10, 5.779334656730194e-10]",0.01041666666666667,0.11458333333333337,11
"[-2.5084123889898045e-10, -2.1176617826700174e-10, -2.055052902914393e-10, -3.3679043481155803e-10, -3.760495927893341e-10, -2.328349492839917e-10, -3.3719958375229234e-10, 5.643742572913158e-10]",0.01041666666666667,0.12500000000000003,12
"[-2.697374952790986e-10, -2.5084123889898045e-10, -2.1176617826700174e-10, -2.889629230479137e-10, -3.222785238475716e-10, -1.8788762404631915e-10, -3.452862381888458e-10, 6.080045069875222e-10]",0.01041666666666667,0.1354166666666667,13
"[-1.6796216721086408e-10, -2.697374952790986e-10, -2.5084123889898045e-10, -2.055052902914393e-10, -3.032612389489576e-10, -2.4125183938059475e-10, -3.822939653580715e-10, 5.754987162305495e-10]",0.01041666666666667,0.14583333333333337,14
"[-6.361257495279295e-11, -1.6796216721086408e-10, -2.697374952790986e-10, -2.1176617826700174e-10, -4.30289559823469e-10, -2.9108789361742184e-10, -4.2744889531402376e-10, 5.170501303689333e-10]",0.01041666666666667,0.15625000000000006,15
"[1.5785421332466508e-10, -6.361257495279295e-11, -1.6796216721086408e-10, -2.5084123889898045e-10, -3.3679043481155803e-10, -1.6713336857311336e-10, -4.6023100602398953e-10, 5.896479029748547e-10]",0.01041666666666667,0.1666666666666667,16
"[1.6202858400489426e-10, 1.5785421332466508e-10, -6.361257495279295e-11, -2.697374952790986e-10, -2.889629230479137e-10, -2.0082535786713752e-10, -5.409677354564144e-10, 4.269048931419707e-10]",0.01041666666666667,0.17708333333333337,17
