TimeStep,StateType,Variable,Values
21,Priors,var_c_priors,0.0222315 0.0693999 0.190967 0.0275121 0.0262782 0.0597258 0.0868916 0.0410176 0.0656475 0.0183929 0.043782 0.0446501 0.111024 0.013873 0.0317623 0.0214977 0.0358681 0.0706905 0.0236146 0.0566764 0.046478 0.034893 0.0197932 0.0299452 0.0599398 0.0919752 0.0511397 0.0609356 0.0388131 0.0458992 0.0642679 0.0196515 0.0534953 0.0161157 0.0437938 0.076731 0.0948941 0.018569 0.03288 0.0259975
22,Priors,var_c_priors,0.0191799 0.0696425 0.146056 0.0280802 0.0224881 0.0392121 0.0840793 0.0336562 0.0515147 0.0162176 0.0377986 0.0561301 0.0943047 0.0113941 0.0323829 0.0225291 0.0397013 0.0609368 0.0225363 0.0496734 0.0397146 0.0331379 0.0207394 0.0208268 0.0510767 0.0720472 0.039573 0.0442561 0.0426075 0.0284951 0.0651951 0.0171674 0.044706 0.011212 0.0491534 0.071518 0.0900704 0.0200844 0.0267334 0.032148
23,Priors,var_c_priors,0.0159161 0.0756221 0.110291 0.0241623 0.0204512 0.0311543 0.082848 0.0317104 0.0419157 0.0158411 0.0304056 0.0509463 0.0767591 0.0109394 0.0315501 0.0238559 0.041119 0.0581903 0.0247756 0.0480924 0.0336052 0.0262855 0.0305999 0.0148397 0.0397429 0.0610842 0.0345675 0.0379316 0.0348466 0.0193081 0.0604161 0.017462 0.0451817 0.0095697 0.0501981 0.0571715 0.0795501 0.0236445 0.021026 0.0453892
24,Priors,var_c_priors,0.0147079 0.0812156 0.0615895 0.0187314 0.0182385 0.0210983 0.0793808 0.0364255 0.0366054 0.0173142 0.0227687 0.0486157 0.0584935 0.0116705 0.0261071 0.0256938 0.0424692 0.0528347 0.027256 0.0489958 0.0250618 0.0229809 0.0427404 0.0136567 0.0311301 0.0531303 0.0296389 0.0414371 0.0258969 0.0133587 0.0588176 0.0200456 0.0468229 0.00968038 0.0455921 0.0459403 0.0679925 0.0240827 0.020576 0.0667259
25,Priors,var_c_priors,0.015558 0.0945612 0.0399566 0.0160341 0.0189652 0.0209969 0.0759613 0.0410523 0.032001 0.0212425 0.0177878 0.0484912 0.0510298 0.0134004 0.0198004 0.0281034 0.0466364 0.0457375 0.0350597 0.0622668 0.0176754 0.0212167 0.0625349 0.016657 0.031685 0.0544108 0.0246025 0.0543521 0.0192418 0.0109647 0.0646152 0.0287219 0.0443678 0.0122682 0.0386399 0.0322442 0.0621967 0.0294077 0.0225808 0.0930852
26,Priors,var_c_priors,0.0186495 0.117632 0.0282848 0.0155624 0.0216814 0.0220214 0.0753603 0.0533101 0.0225544 0.0278154 0.0149605 0.0545819 0.0545589 0.0180409 0.0153148 0.032122 0.0581311 0.0509256 0.0444565 0.0706502 0.0171452 0.0177487 0.0828721 0.0249239 0.0396636 0.0699251 0.0210463 0.0735073 0.0179282 0.0106797 0.0698986 0.0443556 0.0434147 0.0171726 0.040891 0.0301212 0.0592292 0.0362357 0.0254398 0.114524
27,Priors,var_c_priors,0.0220275 0.128546 0.0293087 0.0185388 0.0300439 0.0256251 0.0760969 0.0664116 0.0188294 0.0295932 0.0154273 0.0526665 0.0520471 0.0264041 0.0121764 0.0395297 0.0650726 0.0585337 0.0522761 0.0686441 0.0192116 0.0161693 0.10507 0.0361591 0.0516536 0.0856777 0.0188555 0.0915992 0.0202231 0.0120832 0.0727688 0.0648338 0.0403262 0.0243068 0.0469255 0.0299037 0.066515 0.0425746 0.0315278 0.12548
28,Priors,var_c_priors,0.0298767 0.123099 0.0340186 0.0220242 0.0404759 0.0355385 0.0640299 0.0733907 0.020285 0.0349543 0.0183905 0.0448295 0.0665008 0.0405894 0.0100986 0.0427094 0.0680273 0.063748 0.0623753 0.0598405 0.0220019 0.0146983 0.114808 0.0478461 0.0724258 0.101935 0.0183579 0.115451 0.023298 0.0150313 0.0678289 0.0868344 0.0396904 0.035563 0.067637 0.0367483 0.0768834 0.0424195 0.0367918 0.120908
29,Priors,var_c_priors,0.0370075 0.109734 0.037475 0.0235549 0.0440753 0.0389496 0.0515338 0.0751086 0.0238275 0.0379673 0.0222974 0.0376168 0.0851572 0.0527075 0.0102806 0.0413496 0.0668874 0.0654672 0.0731208 0.0535973 0.024347 0.0127204 0.0957316 0.0492968 0.0917615 0.125019 0.0204137 0.115948 0.0268906 0.0182397 0.0582967 0.0975152 0.0415304 0.0424737 0.0881396 0.0467674 0.0896719 0.0371593 0.0375344 0.120396
30,Priors,var_c_priors,0.0385418 0.0974912 0.0489611 0.0229026 0.0378702 0.0372052 0.044801 0.0740553 0.0264717 0.0379195 0.0267603 0.0348874 0.0978534 0.0486679 0.012166 0.0396625 0.0641307 0.0668316 0.0843603 0.0522475 0.0272018 0.0121397 0.0747149 0.0428985 0.10268 0.149882 0.0254182 0.0943982 0.0315134 0.0225852 0.0553436 0.0981835 0.0426241 0.0440533 0.0989116 0.0554271 0.107768 0.0349469 0.0375294 0.123704
31,Priors,var_c_priors,0.0437001 0.0826951 0.0687052 0.0209092 0.0296459 0.0404702 0.0406196 0.0739955 0.02809 0.0367867 0.0322843 0.0358823 0.113214 0.0385226 0.0148361 0.0369633 0.0637193 0.0686387 0.0926254 0.0537807 0.0312168 0.0134292 0.0579805 0.0377328 0.112003 0.167388 0.0323023 0.0824945 0.0353722 0.0270251 0.0561352 0.0957152 0.046254 0.0419046 0.102112 0.0673791 0.133479 0.0335711 0.0374644 0.120472
32,Priors,var_c_priors,0.0496826 0.0696656 0.101652 0.0189586 0.0257623 0.0469228 0.0377889 0.072977 0.0283926 0.0348277 0.0387111 0.0368507 0.127945 0.0320477 0.0188993 0.0339689 0.0637599 0.070285 0.0963458 0.0572082 0.0372326 0.015957 0.0459295 0.0335816 0.117767 0.173947 0.0408073 0.078129 0.03656 0.0282731 0.0603784 0.0900991 0.0515174 0.0374548 0.0939396 0.0825102 0.164901 0.0315493 0.0363131 0.105355
33,Priors,var_c_priors,0.0537172 0.0596797 0.147298 0.0184967 0.0254893 0.0562117 0.0367494 0.0691616 0.0287472 0.0325116 0.0460677 0.0363177 0.13758 0.0307838 0.0242954 0.030995 0.0631752 0.0703485 0.094387 0.0612135 0.0453267 0.0198238 0.0375875 0.0289156 0.119178 0.168204 0.0516396 0.0786576 0.0339858 0.0259544 0.0680224 0.0817883 0.0571873 0.033357 0.078725 0.0960251 0.194214 0.0286018 0.0337569 0.0827584
34,Priors,var_c_priors,0.0544825 0.0528295 0.191603 0.0197431 0.0259791 0.069345 0.0379304 0.0623198 0.0310934 0.0301178 0.054508 0.0357634 0.141056 0.0325843 0.0304708 0.0284613 0.0630255 0.0671837 0.0875039 0.0642107 0.0522991 0.0254964 0.0317527 0.0235672 0.117219 0.152847 0.0645639 0.0825307 0.0293051 0.0234055 0.0782901 0.0723615 0.0618051 0.030805 0.0620247 0.101497 0.209179 0.0252699 0.029907 0.0611725
35,Priors,var_c_priors,0.0511324 0.0486229 0.212536 0.0214506 0.0260633 0.0844961 0.040897 0.0540823 0.0362233 0.0277248 0.063772 0.0394644 0.138658 0.0352746 0.0364317 0.0268309 0.0652149 0.0609223 0.0767759 0.0651747 0.0530998 0.0339581 0.027657 0.0185398 0.109959 0.13218 0.0748947 0.0875623 0.0256246 0.0225224 0.0886622 0.0634394 0.06442 0.0293687 0.0487183 0.0972732 0.206846 0.022176 0.0252252 0.0453264
36,Priors,var_c_priors,0.0444661 0.0469307 0.20528 0.0223493 0.0260959 0.0921512 0.0452656 0.0465404 0.043375 0.0251122 0.0709846 0.053971 0.131684 0.0378591 0.0411897 0.0260131 0.071305 0.0522122 0.0638125 0.0644214 0.0472443 0.0471062 0.0249374 0.0147186 0.0953471 0.109622 0.0747345 0.0919426 0.0242786 0.0227689 0.095978 0.0566492 0.0654092 0.0280467 0.0405624 0.0874152 0.197011 0.0197685 0.0203883 0.0354266
37,Priors,var_c_priors,0.0384592 0.0481641 0.182798 0.0227942 0.0267662 0.0819667 0.0510695 0.0410779 0.0504825 0.0222057 0.0691131 0.0811243 0.121704 0.0401833 0.0453622 0.0258946 0.0794389 0.0439129 0.0506816 0.063766 0.0404192 0.0658281 0.0233241 0.0123111 0.0750795 0.0889657 0.063295 0.0939852 0.0250288 0.0237036 0.0973337 0.0530633 0.0660804 0.0261261 0.037044 0.0772481 0.188835 0.0182506 0.0159338 0.0300595
38,Priors,var_c_priors,0.0364335 0.0521185 0.160057 0.0238021 0.029045 0.0579016 0.0595357 0.0384996 0.0557312 0.0197386 0.0561006 0.100633 0.110058 0.0424955 0.0507897 0.0267511 0.0845747 0.0387812 0.0394478 0.0651716 0.0372141 0.088039 0.0225804 0.0111049 0.0555984 0.0731346 0.0493261 0.0925763 0.0274366 0.0251027 0.0919265 0.0528082 0.0687217 0.023635 0.038076 0.0706023 0.185693 0.017752 0.0124674 0.0282747
39,Priors,var_c_priors,0.0388087 0.0587483 0.14231 0.0258997 0.0339125 0.0376561 0.0726649 0.0382509 0.0584607 0.0187593 0.0406824 0.0867628 0.0977301 0.0443848 0.0591875 0.0289236 0.0836309 0.0379607 0.0315821 0.07004 0.0383555 0.107397 0.0231047 0.010832 0.0428355 0.0627115 0.039498 0.0885671 0.0310644 0.0270291 0.0815831 0.0559175 0.0745922 0.021056 0.0437243 0.0679475 0.186733 0.0183492 0.0104156 0.0298084
40,Priors,var_c_priors,0.0449789 0.0684188 0.129104 0.0292553 0.0420013 0.0284248 0.0927421 0.0388638 0.0581952 0.0199653 0.03145 0.0572753 0.0849142 0.0441878 0.0703249 0.032593 0.07824 0.0417728 0.0276371 0.0783422 0.0425516 0.117522 0.0256004 0.0111547 0.0367693 0.0562461 0.0339902 0.0843294 0.0352673 0.0292641 0.0722234 0.0628469 0.0833359 0.0187804 0.0529674 0.068289 0.188911 0.020113 0.00989348 0.0347668
41,Priors,var_c_priors,0.0543602 0.0804979 0.118068 0.034017 0.0513338 0.0263724 0.122773 0.0385589 0.0558195 0.0236386 0.0298628 0.0388146 0.0724942 0.0398655 0.0826399 0.037768 0.072067 0.0507571 0.027431 0.088899 0.0492783 0.118673 0.0308796 0.0118424 0.0352307 0.0520979 0.0305817 0.0818009 0.0386151 0.030264 0.0683104 0.0746378 0.093013 0.0171907 0.0617289 0.0699631 0.188811 0.0228482 0.010795 0.0439863
42,Priors,var_c_priors,0.0659445 0.0931279 0.106446 0.0402217 0.0581186 0.0262201 0.163445 0.0368726 0.0528407 0.0295593 0.031751 0.0331242 0.0612633 0.033188 0.0943843 0.0447085 0.0680515 0.066128 0.0303768 0.0990106 0.0601872 0.115699 0.0393241 0.0128118 0.0363256 0.0494928 0.0279008 0.0824018 0.0383998 0.0280979 0.0678255 0.0927419 0.101918 0.0166052 0.0630735 0.071126 0.183597 0.0261357 0.0130234 0.0590208
43,Priors,var_c_priors,0.0786874 0.104541 0.0919493 0.0482273 0.0614422 0.0256481 0.208005 0.034766 0.0498848 0.0370573 0.0320152 0.0332599 0.0520342 0.0282981 0.103816 0.0537097 0.0676529 0.0891095 0.036198 0.105572 0.0776529 0.113716 0.0505707 0.0142768 0.0383874 0.0481935 0.025364 0.0869767 0.0332006 0.023125 0.067362 0.118049 0.109674 0.017414 0.0546997 0.0707704 0.17275 0.0294704 0.0164647 0.0796411
44,Priors,var_c_priors,0.107293 0.108297 0.111666 0.0735445 0.0388093 0.031217 0.266347 0.0567152 0.0385661 0.0421449 0.0375121 0.0839644 0.047443 0.0160829 0.085327 0.0710564 0.0562344 0.147633 0.0193187 0.12121 0.0879155 0.141584 0.0949867 0.0174526 0.0631024 0.0536164 0.035381 0.0796793 0.0568588 0.0153848 0.172798 0.0680539 0.050554 0.0122398 0.0745617 0.0842346 0.117117 0.0371279 0.0165559 0.103898
45,Priors,var_c_priors,0.117061 0.112302 0.107036 0.0798756 0.0372011 0.0328233 0.283613 0.0522597 0.0312605 0.0457545 0.029028 0.0774945 0.0463844 0.0144112 0.0670578 0.0810847 0.0558087 0.166856 0.0205002 0.116573 0.0911527 0.131269 0.118258 0.0219057 0.0686631 0.0549939 0.0267782 0.0749644 0.0569136 0.0186329 0.162035 0.0571234 0.0518643 0.013344 0.0742167 0.0852314 0.0929187 0.0437118 0.0208475 0.141326
46,Priors,var_c_priors,0.108144 0.123699 0.0853582 0.0769805 0.0412133 0.0309396 0.272204 0.048826 0.0261065 0.0457813 0.0207711 0.067836 0.0457798 0.0148697 0.0501304 0.0812546 0.0643344 0.165662 0.0236227 0.108403 0.0692206 0.109408 0.131938 0.0254584 0.0647408 0.0549049 0.0178597 0.0684313 0.0427376 0.0217851 0.142286 0.0595814 0.0552769 0.015045 0.0688084 0.0765323 0.079563 0.0461834 0.0263141 0.185614
47,Priors,var_c_priors,0.0888008 0.141366 0.0599215 0.0646911 0.0454723 0.0274022 0.229484 0.0482266 0.0224943 0.0431809 0.0150813 0.0655714 0.0456417 0.0154707 0.0342067 0.0738276 0.0753722 0.151533 0.0266331 0.0963088 0.0435998 0.0826697 0.138533 0.0286319 0.0592232 0.0545904 0.0121622 0.0621383 0.0306561 0.0212083 0.121729 0.0638946 0.0560202 0.016802 0.0628647 0.0621311 0.0684172 0.0468486 0.0302291 0.204471
48,Priors,var_c_priors,0.0668396 0.158662 0.0419102 0.04883 0.0481333 0.0249502 0.172997 0.0499589 0.0201905 0.0400226 0.0121644 0.0672828 0.0465923 0.0156953 0.0221893 0.0635446 0.0836386 0.131167 0.0300782 0.0836943 0.0282408 0.0566318 0.139805 0.0321058 0.0553769 0.0553487 0.00938017 0.0602631 0.0244058 0.0186464 0.103879 0.0675434 0.0561012 0.0187202 0.059399 0.0481192 0.0592669 0.0471658 0.0322571 0.193283
49,Priors,var_c_priors,0.0482663 0.164298 0.0324448 0.0362667 0.0492348 0.0271581 0.124593 0.0530088 0.0187219 0.0381878 0.0114177 0.0687811 0.0494783 0.0161487 0.0148478 0.0541431 0.0832294 0.109128 0.0350797 0.0717889 0.0218453 0.0368017 0.136437 0.0372025 0.0543778 0.0582406 0.00844767 0.0681896 0.0217864 0.0161681 0.089236 0.0706281 0.0544844 0.0211695 0.0592636 0.0387101 0.0532002 0.0483346 0.033222 0.166957
50,Priors,var_c_priors,0.0360963 0.156145 0.0294634 0.0290843 0.0497346 0.0326084 0.0915819 0.0578413 0.0173348 0.0379816 0.0122617 0.0652165 0.0544683 0.0187583 0.0110392 0.0475672 0.075426 0.0908744 0.0420844 0.0616137 0.0199649 0.0237731 0.128177 0.0437527 0.0565509 0.0651967 0.00881053 0.0865737 0.0211039 0.0146985 0.0767821 0.0745603 0.0503912 0.0245497 0.0626927 0.0344824 0.0505005 0.0491225 0.0333972 0.140885
51,Priors,var_c_priors,0.0304741 0.139882 0.029966 0.0262007 0.0506303 0.0320627 0.0706937 0.0640118 0.0166105 0.0376844 0.0141968 0.0547493 0.0609481 0.0264489 0.00927972 0.0437584 0.0662539 0.0779233 0.050656 0.0542567 0.0201611 0.016108 0.115537 0.0483809 0.0617894 0.0769674 0.0103923 0.106151 0.021745 0.0143704 0.0647576 0.0796271 0.0448137 0.0295213 0.0694356 0.0342391 0.0525318 0.0469215 0.0335455 0.122857
52,Priors,var_c_priors,0.0298532 0.123362 0.0334199 0.0256248 0.050975 0.0278494 0.0574456 0.0700132 0.0180277 0.0369636 0.0170408 0.0423605 0.0696825 0.0385903 0.0087465 0.041765 0.060143 0.0695905 0.0607423 0.0501251 0.02162 0.0120621 0.0986865 0.0485295 0.0696384 0.0943148 0.01344 0.112169 0.0235367 0.0153121 0.0539802 0.0852364 0.0401677 0.0366012 0.0786157 0.0370895 0.0606435 0.0423551 0.0342394 0.113972
53,Priors,var_c_priors,0.0322565 0.109929 0.0392243 0.0252794 0.0462949 0.0266194 0.0493339 0.0743633 0.0215667 0.0358966 0.0206053 0.0345987 0.0816017 0.0459907 0.00917736 0.0404296 0.0581992 0.0654479 0.0715487 0.0488985 0.0240464 0.0103814 0.0794433 0.0452608 0.0781311 0.116961 0.0180609 0.102214 0.0261997 0.0177099 0.0459772 0.0895729 0.0384053 0.0442723 0.0870786 0.0426565 0.0749377 0.0379077 0.0353769 0.113303
54,Priors,var_c_priors,0.0360907 0.096867 0.0490062 0.0237669 0.0363735 0.0289358 0.0440146 0.075996 0.0253748 0.034249 0.0250047 0.0326219 0.0955339 0.0415584 0.0106185 0.0389089 0.0589105 0.0643458 0.0818093 0.0500666 0.0273051 0.0103199 0.0624503 0.0411677 0.0850595 0.140921 0.0242812 0.0863936 0.0292847 0.0219161 0.0423921 0.0905255 0.0396238 0.0486899 0.0908605 0.0507297 0.0953853 0.0351906 0.0366525 0.115811
55,Priors,var_c_priors,0.0411386 0.082544 0.066735 0.0211227 0.0273515 0.0334347 0.039798 0.0751809 0.0276107 0.0322228 0.030386 0.0336798 0.109895 0.0326656 0.0131019 0.0366784 0.0600687 0.065083 0.089104 0.0530003 0.0317557 0.0115037 0.0493719 0.0377719 0.0898966 0.159684 0.0320666 0.0755979 0.0317981 0.0262893 0.0428677 0.0879844 0.0431446 0.0475826 0.0875418 0.0617279 0.121109 0.0333651 0.0373331 0.112471
56,Priors,var_c_priors,0.046284 0.0691373 0.0964886 0.0188032 0.0234697 0.0388344 0.0365906 0.0727274 0.028293 0.0299953 0.0365028 0.0345824 0.122875 0.0276488 0.0168764 0.0338705 0.0602982 0.0661456 0.0915364 0.0571246 0.038216 0.013777 0.0396637 0.0343572 0.09311 0.167687 0.0417085 0.0720208 0.0320488 0.026931 0.0465099 0.0825371 0.0482319 0.0426193 0.0766795 0.0749188 0.150238 0.0309014 0.0365191 0.0989479
57,Priors,var_c_priors,0.0495456 0.058597 0.13879 0.0182439 0.0232109 0.0452354 0.0351884 0.0684545 0.0290205 0.0276262 0.043197 0.0341702 0.130926 0.0272143 0.0219225 0.0309818 0.0594307 0.0665171 0.0884144 0.0618703 0.046306 0.0172382 0.0327714 0.0298473 0.094875 0.16337 0.0537293 0.0732949 0.0292992 0.0242336 0.0529995 0.074727 0.0533909 0.0374177 0.0620623 0.0862085 0.17388 0.0276176 0.0339942 0.0792349
58,Priors,var_c_priors,0.0502192 0.050747 0.178769 0.019396 0.0235718 0.0540299 0.0358644 0.0626061 0.0317957 0.0253211 0.0507794 0.0339855 0.132651 0.0291933 0.0276128 0.0285958 0.0588259 0.0644848 0.0803879 0.0657923 0.0521364 0.022268 0.0278004 0.0244013 0.095516 0.148667 0.0667522 0.0774481 0.0251668 0.0216421 0.0617163 0.0658881 0.0571987 0.0338867 0.0482283 0.0904341 0.181256 0.0240329 0.0301314 0.0598471
59,Priors,var_c_priors,0.0476995 0.045581 0.196309 0.0207009 0.0233616 0.0659494 0.0381647 0.0558001 0.0374778 0.0231476 0.0591894 0.0380092 0.128863 0.0315665 0.0328306 0.0269675 0.0603164 0.0593946 0.0688003 0.0674429 0.0508635 0.029749 0.0242497 0.0192337 0.0932376 0.128028 0.0743434 0.0825827 0.0220878 0.0207182 0.0710502 0.0577332 0.0587493 0.0318607 0.0381036 0.0859988 0.1732 0.0208014 0.0254537 0.0448596
60,Priors,var_c_priors,0.0422632 0.0432334 0.187397 0.0210743 0.0229729 0.0762346 0.0415078 0.0496487 0.0448552 0.0210009 0.0658934 0.0521502 0.120949 0.0334982 0.0367896 0.0258494 0.0656277 0.0517691 0.0556933 0.0668665 0.0435944 0.0412601 0.0218651 0.0153117 0.0856484 0.105773 0.0696277 0.0869544 0.0209946 0.0210566 0.0783614 0.051865 0.0587933 0.030273 0.0322256 0.0766179 0.160932 0.0182941 0.0205248 0.035019
61,Priors,var_c_priors,0.0370926 0.0436592 0.165373 0.0212779 0.0231628 0.0739557 0.0460659 0.0456045 0.0512425 0.0186865 0.064709 0.07699 0.110621 0.0350746 0.0401877 0.0250948 0.0731597 0.0437686 0.0432942 0.0660148 0.0365472 0.0577041 0.0205309 0.0128308 0.0719547 0.085672 0.0558538 0.088745 0.0216742 0.0219154 0.0815286 0.0491542 0.0589108 0.0284021 0.0300802 0.0673758 0.152902 0.016682 0.0159754 0.02967
62,Priors,var_c_priors,0.0351204 0.0461636 0.143518 0.0222757 0.0248181 0.0567985 0.0532597 0.0442703 0.0549364 0.0166153 0.0532043 0.0921671 0.0990481 0.0366828 0.0448295 0.0249558 0.0780053 0.0384015 0.0333764 0.0672044 0.0336467 0.0775738 0.0200394 0.0115847 0.0560651 0.0700944 0.0425608 0.087118 0.023799 0.0230003 0.079557 0.0498679 0.0608621 0.0260232 0.0313517 0.0614307 0.151528 0.016047 0.012502 0.0280119
63,Priors,var_c_priors,0.0369735 0.0505887 0.126749 0.0244653 0.0289036 0.038026 0.065104 0.0446878 0.0556211 0.0156858 0.0386849 0.0765647 0.0870091 0.0383032 0.0523232 0.025941 0.077388 0.0373858 0.0269863 0.072085 0.0350283 0.0950266 0.0206276 0.0113153 0.0434863 0.05964 0.0346033 0.0830004 0.0270466 0.0245096 0.0730653 0.0540192 0.065724 0.0234347 0.0363968 0.0591073 0.155286 0.0164381 0.0105218 0.0296671
64,Priors,var_c_priors,0.0423842 0.0573568 0.114625 0.0280245 0.0362206 0.0277829 0.0839207 0.044919 0.0536669 0.0166179 0.0295882 0.0498186 0.0749696 0.0389365 0.0624606 0.0284903 0.0728622 0.041089 0.0242291 0.0806964 0.0392442 0.103851 0.022969 0.0117014 0.0360732 0.0531942 0.0308959 0.0788075 0.0309273 0.0263611 0.0664601 0.0619706 0.073501 0.0210437 0.0453433 0.0594139 0.160945 0.0178777 0.0101203 0.0347337
65,Priors,var_c_priors,0.0509533 0.0660604 0.10485 0.0330983 0.0452254 0.0248353 0.112745 0.0432208 0.0505438 0.0198008 0.0279381 0.0345588 0.0637512 0.0364702 0.0738392 0.0328765 0.0676735 0.0500672 0.0247195 0.0916041 0.0455443 0.104307 0.0279277 0.0125007 0.0328677 0.0492553 0.0286708 0.076393 0.0343185 0.0274185 0.0640294 0.0746739 0.0825427 0.0192921 0.0557263 0.0607665 0.164438 0.020053 0.0111727 0.043919
66,Priors,var_c_priors,0.061806 0.0753301 0.0948197 0.0396013 0.0520767 0.0243892 0.152145 0.0398385 0.0475737 0.025124 0.0300437 0.0305165 0.0539131 0.0312352 0.084803 0.0393958 0.0644482 0.0654596 0.0278918 0.101711 0.055236 0.101197 0.0359038 0.0135639 0.0325531 0.0469727 0.0266019 0.0770022 0.0347688 0.0259168 0.0645066 0.0933449 0.0912026 0.0186049 0.0610693 0.0616285 0.162612 0.0225459 0.0135934 0.0583022
67,Priors,var_c_priors,0.073931 0.0840262 0.0823044 0.0477125 0.0555534 0.0238615 0.195579 0.0363049 0.0450867 0.0320095 0.0308676 0.0312597 0.04601 0.0267363 0.0936515 0.0480719 0.0644594 0.088298 0.033495 0.107636 0.0709218 0.0992491 0.0465349 0.0150759 0.0335975 0.0459683 0.0243791 0.0813703 0.0305836 0.0217582 0.064798 0.118342 0.0990241 0.0194308 0.0565079 0.0613137 0.154592 0.025137 0.0173036 0.0764904
68,Priors,var_c_priors,0.103167 0.0882082 0.101801 0.0729821 0.0350993 0.0290939 0.253271 0.0491751 0.035621 0.0371159 0.0366898 0.0762111 0.0427229 0.0146065 0.077265 0.0727493 0.0545233 0.14855 0.017535 0.130602 0.08263 0.127516 0.0890871 0.0184337 0.0637566 0.0527416 0.0367286 0.0762982 0.0522477 0.0152235 0.161274 0.0680456 0.0475988 0.013874 0.0777763 0.0774193 0.105415 0.0320893 0.0171592 0.107239
69,Priors,var_c_priors,0.112834 0.0934987 0.0979139 0.0802552 0.0345707 0.0305088 0.275448 0.0440398 0.02995 0.0409938 0.0288591 0.07167 0.0420807 0.0132544 0.0608406 0.0864219 0.0542758 0.166719 0.0187042 0.126521 0.0902985 0.120102 0.111074 0.0233701 0.0696841 0.0531376 0.0287665 0.0739248 0.0541048 0.0177364 0.151858 0.061192 0.048274 0.0151603 0.0819438 0.0794701 0.0839667 0.0387257 0.0215718 0.143072
70,Priors,var_c_priors,0.104691 0.104871 0.0796878 0.0778904 0.0389089 0.0284821 0.261919 0.0411284 0.0258049 0.0415707 0.0208525 0.0630994 0.0415165 0.0139296 0.0456056 0.0886016 0.062534 0.163631 0.0215965 0.117068 0.0720872 0.100858 0.124166 0.0271374 0.064517 0.0525566 0.0193706 0.0691691 0.0412229 0.0207809 0.132977 0.0665187 0.0513 0.016995 0.0783389 0.0718739 0.0725745 0.0413709 0.0270668 0.17808
71,Priors,var_c_priors,0.0864705 0.121537 0.0576048 0.0659379 0.0429931 0.0249478 0.216161 0.0408108 0.0227248 0.0396299 0.0152053 0.0608411 0.0412948 0.0146018 0.0312337 0.0813674 0.0730823 0.147649 0.0243074 0.102447 0.0466738 0.0764057 0.12995 0.0305085 0.0579239 0.0520497 0.0130885 0.0639877 0.029751 0.0205468 0.112098 0.0715003 0.0517924 0.0187196 0.0726105 0.0582138 0.0625826 0.042484 0.0307778 0.18368
72,Priors,var_c_priors,0.0655465 0.138498 0.0415077 0.0501234 0.0451991 0.0230395 0.160514 0.0428675 0.0206667 0.0370979 0.0122558 0.0620474 0.0421783 0.014847 0.0203177 0.0698351 0.0810399 0.125902 0.0274397 0.0867636 0.0299763 0.0524304 0.130173 0.0343936 0.0529646 0.0526573 0.00996893 0.0624814 0.0237739 0.0183297 0.0933217 0.0736632 0.0516356 0.0204361 0.0686826 0.0446938 0.0539724 0.0433236 0.0323896 0.163812
73,Priors,var_c_priors,0.0475558 0.146658 0.0326586 0.0373799 0.0457945 0.0256378 0.114919 0.0470645 0.019378 0.0355417 0.0113936 0.0631865 0.0449128 0.0153291 0.0135238 0.0588237 0.0805944 0.103757 0.0320649 0.0719319 0.0223953 0.0341572 0.125893 0.0398381 0.0507036 0.055425 0.00890811 0.0702689 0.0212716 0.0160565 0.0776662 0.0742122 0.0500998 0.0225543 0.0680183 0.0355201 0.0479482 0.0447936 0.0330212 0.136372
74,Priors,var_c_priors,0.0355295 0.142268 0.0296287 0.0298441 0.045844 0.028654 0.0848455 0.0543325 0.0181105 0.0351295 0.0120591 0.0597774 0.0499949 0.0179527 0.00993477 0.0508096 0.0728286 0.0856684 0.0387353 0.0597617 0.019914 0.0223453 0.117471 0.0461919 0.0512235 0.0618782 0.00925329 0.0876912 0.0204847 0.0146454 0.0645906 0.0751361 0.046415 0.0256474 0.0701928 0.0313616 0.0454938 0.046146 0.0332175 0.113269
75,Priors,var_c_priors,0.0297854 0.130355 0.0302175 0.0266616 0.0462899 0.0259032 0.0664618 0.0653269 0.0170267 0.0343646 0.0137561 0.0502426 0.0571811 0.0253319 0.00831296 0.0460891 0.0637239 0.0736173 0.0471338 0.0519435 0.019941 0.0152901 0.105476 0.0496614 0.0539491 0.0732065 0.0108908 0.105344 0.0208439 0.0143314 0.0526851 0.0770224 0.0415213 0.0305392 0.0746581 0.0310287 0.0474877 0.0449549 0.033495 0.0992944
76,Priors,var_c_priors,0.0288702 0.116905 0.0334974 0.0260313 0.0462645 0.0222508 0.0551126 0.0787542 0.0176261 0.0330374 0.016304 0.0391198 0.0669253 0.0362549 0.00788172 0.0436628 0.057757 0.0663652 0.0571175 0.0480422 0.0214428 0.0114698 0.0903249 0.0483761 0.0580922 0.0897228 0.0140504 0.109362 0.02213 0.0152669 0.0428041 0.0795353 0.0376006 0.0379332 0.0799167 0.0335327 0.0554059 0.0412732 0.034496 0.0941511
77,Priors,var_c_priors,0.0309521 0.105364 0.0393656 0.0258833 0.0419186 0.022432 0.0481786 0.0914122 0.0204923 0.0315514 0.0196155 0.0321651 0.0797402 0.0419306 0.00833562 0.0422747 0.0558935 0.0631114 0.0679602 0.0472719 0.024027 0.00981437 0.0736058 0.0444245 0.0626963 0.111211 0.0188748 0.0985301 0.0240033 0.0177002 0.036345 0.0816081 0.0361753 0.0467198 0.0828927 0.038526 0.0693248 0.0373026 0.0360797 0.0957121
