TimeStep,StateType,Variable,Values
13,Priors,mu_c_priors,0.357516 0.0579305 -0.510261 -0.721641 0.0844418 -0.572556 -0.244851 -0.878275 -0.302478 -0.200929 -0.795478 0.480296 -0.136546 0.2724 0.176452 -0.534555 -0.489089 0.756077 0.384111 0.748743 0.548111 -0.161361 0.443023 -0.456533 -0.599715 -0.184812 -0.675245 0.334354 -0.245183 -0.158919 0.381991 0.508356 -0.0218575 -0.678621 -0.804819 -0.507487 -0.0412703 0.23319 -0.322331 -0.516645
14,Priors,mu_c_priors,0.362813 0.0738389 -0.569091 -0.724315 0.323848 -0.599681 -0.194043 -0.987331 -0.264322 -0.323091 -0.894 0.472008 -0.284472 0.648073 0.157774 -0.752278 -0.514701 0.768411 0.464409 0.912176 0.518858 -0.176545 0.460398 -0.5919 -0.607461 -0.208792 -0.466923 0.291936 -0.241168 0.1505 0.366969 0.70111 -0.0175414 -0.538493 -0.86688 -0.460351 -0.155754 0.359757 -0.371966 -0.59848
15,Priors,mu_c_priors,0.328859 -0.0457068 -0.529681 -0.607082 0.372457 -0.669216 -0.148904 -0.809914 -0.443286 -0.308824 -1.00004 0.595724 -0.199392 0.53697 0.146754 -0.319668 -0.571507 0.644201 0.335187 0.741065 0.466278 -0.202555 0.466743 -0.624224 -0.642974 -0.176045 -0.649657 0.437111 -0.0382064 0.222699 0.418199 0.538967 -0.0157974 -0.366405 -0.911095 -0.463958 -0.15407 0.0756408 -0.391116 -0.311354
16,Priors,mu_c_priors,0.354837 0.0174606 -0.554954 -0.570353 0.50457 -0.656538 -0.0820165 -0.95414 -0.253289 -0.351314 -1.06993 0.498609 -0.373732 0.783273 0.10247 -0.644564 -0.579972 0.622449 0.418253 0.915876 0.308962 -0.213686 0.445514 -0.673913 -0.60781 -0.213232 -0.232967 0.313431 -0.0388069 0.549072 0.396833 0.709905 -0.0278382 -0.191799 -0.95325 -0.392005 -0.286693 0.278875 -0.455521 -0.479051
17,Priors,mu_c_priors,0.310339 -0.0372844 -0.411362 -0.439251 0.483733 -0.68426 -0.0136101 -0.744056 -0.372749 -0.31008 -1.15308 0.615071 -0.291015 0.627529 0.0766869 -0.224926 -0.588659 0.443773 0.273404 0.676452 0.193017 -0.256889 0.423907 -0.638641 -0.62117 -0.175063 -0.376192 0.415863 0.209036 0.649559 0.440781 0.506849 -0.0439429 -0.0790782 -0.986033 -0.306132 -0.297765 0.0005099 -0.463242 -0.0979025
18,Priors,mu_c_priors,0.323211 0.0620308 -0.388592 -0.353936 0.549977 -0.6548 0.0358489 -0.913778 -0.0509411 -0.319442 -1.14169 0.388499 -0.486384 0.799575 0.00369629 -0.625094 -0.531899 0.453664 0.35481 0.871541 -0.0803345 -0.255451 0.390032 -0.640804 -0.56122 -0.206755 0.216435 0.202656 0.189816 0.923393 0.403478 0.685116 -0.0787406 0.0747495 -1.02755 -0.252914 -0.403638 0.255977 -0.524274 -0.38449
19,Priors,mu_c_priors,0.263207 0.0578667 -0.174896 -0.209869 0.472153 -0.580422 0.130231 -0.70707 -0.113026 -0.237853 -1.17603 0.537666 -0.427078 0.596842 -0.0319607 -0.247524 -0.496757 0.239096 0.207714 0.555503 -0.214822 -0.312436 0.357559 -0.556897 -0.557901 -0.170428 0.111799 0.260995 0.464838 0.963671 0.424396 0.424533 -0.107054 0.100561 -1.06155 -0.0752975 -0.392596 0.013829 -0.515069 0.0704963
20,Priors,mu_c_priors,0.207394 -0.0983188 -0.0322174 -0.112616 0.244888 -0.0951345 0.132099 0.0411354 -0.137734 0.038623 -1.18563 0.649175 -0.338023 0.163563 -0.0903322 0.297426 -0.454948 0.159799 0.0341469 0.0887682 -0.227258 -0.378757 0.356021 -0.414718 -0.389281 0.0377437 -0.35241 0.183391 0.780471 0.331475 0.487302 0.0412265 -0.242815 0.100862 -0.966871 0.202306 -0.402523 -0.239469 -0.42693 0.471407
21,Priors,mu_c_priors,0.247685 -0.114818 0.0199836 -0.0569492 0.111435 0.144211 0.132595 0.431168 -0.0129018 0.241935 -1.18585 0.519659 -0.286469 0.000798822 -0.14431 0.476117 -0.414525 0.152873 -0.117378 -0.131053 -0.135923 -0.398956 0.3727 -0.156574 -0.312545 0.137411 -0.574595 0.0163112 0.669881 -0.0744077 0.432087 -0.0985675 -0.286039 0.0428895 -0.796601 0.2871 -0.341829 -0.268773 -0.373004 0.603064
22,Priors,mu_c_priors,0.220125 -0.0797418 -0.0667389 -0.064579 -0.0524926 0.252503 0.101527 0.553455 0.158849 0.408124 -1.03312 0.295755 -0.152005 -0.128386 -0.188402 0.510748 -0.34534 0.149076 -0.18169 -0.225715 -0.0889092 -0.38016 0.374382 0.0795875 -0.208953 0.0893212 -0.656577 -0.105762 0.315205 -0.251674 0.237236 -0.217384 -0.339917 -0.02995 -0.540902 0.24114 -0.224641 -0.227262 -0.294732 0.612014
